"City";"City URL";"Club";"Club URL";"Club Logo";"Status (open, closed)";"Address";"Phone";"Website URL";"Maps URL";"Followers";"Capacity (ex)";"# of events so far this year";"About";"Images (Cover photo)"
"Hobart";"https://ra.co/clubs/au/hobart";"Albert Hall";"https://ra.co/clubs/16487";"";"Open";"['Tamar Street; Launceston, TAS 7250, Australia']";"(03) 6323 3000";"";"http://maps.google.com/maps?q=Tamar Street; Launceston, TAS 7250, Australia(Albert Hall)";"";"";"";"";""
"Hobart";"https://ra.co/clubs/au/hobart";"Altar";"https://ra.co/clubs/172409";"";"Open";"['112 Murray St, Hobart Tasmania 7010, Australia']";"";"https://www.altarhobart.com.au/";"http://maps.google.com/maps?q=112 Murray St, Hobart Tasmania 7010, Australia(Altar)";"";"400";"2";"A temple of live music, in the heart of Hobart. Opening at Dark Mofo and continuing beyond, set to showcase a curated mix of emerging and established artists.";""
"Hobart";"https://ra.co/clubs/au/hobart";"The Bay Hotel";"https://ra.co/clubs/22565";"";"Open";"['39 Sandy Bay Road; Sandy Bay, TAS 7005; Australia']";"(03) 6223 6258";"https://www.thebayhotel.com.au";"http://maps.google.com/maps?q=39 Sandy Bay Road; Sandy Bay, TAS 7005; Australia(The Bay Hotel)";"";"";"";"";""
"Hobart";"https://ra.co/clubs/au/hobart";"Boat - Spirit Of Hobart";"https://ra.co/clubs/143681";"";"Open";"['TBA']";"(03) 6200 9074 ";"http://www.hobarthistoriccruises.com.au/";"http://maps.google.com/maps?q=TBA(Boat - Spirit Of Hobart)";"";"140";"";"";""
"Hobart";"https://ra.co/clubs/au/hobart";"City Hall";"https://ra.co/clubs/133732";"";"Open";"['Town Hall, Macquarie St. GPO Box 503. Hobart, Tasmania, 7001']";"";"";"http://maps.google.com/maps?q=Town Hall, Macquarie St. GPO Box 503. Hobart, Tasmania, 7001(City Hall)";"";"";"";"";""
"Hobart";"https://ra.co/clubs/au/hobart";"Derwent Entertainment Centre";"https://ra.co/clubs/16486";"";"Open";"['Brooker Highway; Glenorchy, TAS 7010; Australia']";"(03) 6273 0233";"https://www.derwent.com.au";"http://maps.google.com/maps?q=Brooker Highway; Glenorchy, TAS 7010; Australia(Derwent Entertainment Centre)";"";"";"";"";""
"Hobart";"https://ra.co/clubs/au/hobart";"Flamingos Dance Bar";"https://ra.co/clubs/150806";"";"Open";"['201 Liverpool St Hobart']";"6294 6173";"https://www.facebook.com/flamingosdancebar/";"http://maps.google.com/maps?q=201 Liverpool St Hobart(Flamingos Dance Bar)";"";"300";"";"";""
"Hobart";"https://ra.co/clubs/au/hobart";"Fresh on Charles";"https://ra.co/clubs/100445";"";"Open";"['178 Charles Street, Launceston TAS, Australia']";"+61 3 6331 4299";"https://www.freshoncharles.com.au/";"http://maps.google.com/maps?q=178 Charles Street, Launceston TAS, Australia(Fresh on Charles)";"";"";"";"Fresh on Charles is a licensed vegetarian cafe in Launceston. We serve Ritual & Genovese coffee and inspired vegetarian cuisine in a beautiful setting opposite Princes Square.";""
"Hobart";"https://ra.co/clubs/au/hobart";"The Grand Poobah";"https://ra.co/clubs/96528";"";"Open";"['142 Liverpool St, Hobart TAS 7000, Australia']";"+61 3 6231 3363";"https://www.facebook.com/thegrandpoobahbar/info";"http://maps.google.com/maps?q=142 Liverpool St, Hobart TAS 7000, Australia(The Grand Poobah)";"7";"1000";"1";"A wonderfully eclectic space with a mix of good taste, art and adventure!

Bands, Dance, Comedy, Cabaret, Lounge Bar (Kissing Room), Private Functions, Art Gallery.";""
"Hobart";"https://ra.co/clubs/au/hobart";"Halo";"https://ra.co/clubs/1645";"";"Open";"['37A Elizabeth Street;  Hobart, TAS 7000; Australia']";"(03)6234 6669";"https://www.facebook.com/halonightclubhobart/";"http://maps.google.com/maps?q=37A Elizabeth Street;  Hobart, TAS 7000; Australia(Halo)";"";"350";"";"";""
"Hobart";"https://ra.co/clubs/au/hobart";"Hobart Historic Cruises";"https://ra.co/clubs/159599";"";"Open";"['Murray Street Pier, Hobart TAS 7000, Australia']";"";"";"http://maps.google.com/maps?q=Murray Street Pier, Hobart TAS 7000, Australia(Hobart Historic Cruises)";"3";"";"";"Hobart Historic Cruises organises and operates the Derwent River harbour cruise tour, providing quality service to both global tourism and participating delegates. We have highly experienced crew members and also provide a boat charter service on our vessel ‘Spirit of Hobart’. The company, which has been running the Derwent River harbour cruise tour for more than 30 years, has an excellent track record. We provide a first class service at affordable prices, which are highly competitive.";""
"Hobart";"https://ra.co/clubs/au/hobart";"Hobart Uni Bar";"https://ra.co/clubs/170704";"";"Open";"['Union Building, Churchill Ave, Sandy Bay TAS 7005, Hobart']";"";"";"http://maps.google.com/maps?q=Union Building, Churchill Ave, Sandy Bay TAS 7005, Hobart(Hobart Uni Bar)";"";"";"";"Bar.";""
"Hobart";"https://ra.co/clubs/au/hobart";"The Homestead";"https://ra.co/clubs/94020";"";"Open";"['304 Elizabeth St, North Hobart TAS 7000, Australia']";"+61 3 6234 4589";"https://www.facebook.com/thehomesteadtas";"http://maps.google.com/maps?q=304 Elizabeth St, North Hobart TAS 7000, Australia(The Homestead)";"";"";"";"A space where one will find many delights including comfy couches, swinging tunes across a plethora of music genres live and non-live, performing and visual arts to feed the senses, as well as a multitude of beverages in a range of sizes and tastes";""
